日期,猪肉价格,单位,数据来源
2024-09-26,23.18,元/公斤,示例数据
2024-09-27,23.36,元/公斤,示例数据
2024-09-28,22.0,元/公斤,示例数据
2024-09-29,24.26,元/公斤,示例数据
2024-09-30,23.36,元/公斤,示例数据
2024-10-01,20.74,元/公斤,示例数据
2024-10-02,21.0,元/公斤,示例数据
2024-10-03,19.76,元/公斤,示例数据
2024-10-04,22.1,元/公斤,示例数据
2024-10-05,19.34,元/公斤,示例数据
2024-10-06,19.46,元/公斤,示例数据
2024-10-07,21.08,元/公斤,示例数据
2024-10-08,20.87,元/公斤,示例数据
2024-10-09,19.85,元/公斤,示例数据
2024-10-10,19.97,元/公斤,示例数据
2024-10-11,23.25,元/公斤,示例数据
2024-10-12,21.21,元/公斤,示例数据
2024-10-13,22.82,元/公斤,示例数据
2024-10-14,20.95,元/公斤,示例数据
2024-10-15,20.02,元/公斤,示例数据
2024-10-16,19.51,元/公斤,示例数据
2024-10-17,19.8,元/公斤,示例数据
2024-10-18,21.38,元/公斤,示例数据
2024-10-19,23.33,元/公斤,示例数据
2024-10-20,21.59,元/公斤,示例数据
2024-10-21,21.21,元/公斤,示例数据
2024-10-22,21.72,元/公斤,示例数据
2024-10-23,19.85,元/公斤,示例数据
2024-10-24,19.34,元/公斤,示例数据
2024-10-25,22.4,元/公斤,示例数据
2024-10-26,22.19,元/公斤,示例数据
2024-10-27,20.53,元/公斤,示例数据
2024-10-28,20.91,元/公斤,示例数据
2024-10-29,21.68,元/公斤,示例数据
2024-10-30,19.72,元/公斤,示例数据
2024-10-31,20.27,元/公斤,示例数据
2024-11-01,18.48,元/公斤,示例数据
2024-11-02,18.8,元/公斤,示例数据
2024-11-03,21.92,元/公斤,示例数据
2024-11-04,18.12,元/公斤,示例数据
2024-11-05,19.4,元/公斤,示例数据
2024-11-06,21.6,元/公斤,示例数据
2024-11-07,19.8,元/公斤,示例数据
2024-11-08,20.84,元/公斤,示例数据
2024-11-09,18.68,元/公斤,示例数据
2024-11-10,19.16,元/公斤,示例数据
2024-11-11,21.88,元/公斤,示例数据
2024-11-12,20.68,元/公斤,示例数据
2024-11-13,18.48,元/公斤,示例数据
2024-11-14,21.68,元/公斤,示例数据
2024-11-15,19.96,元/公斤,示例数据
2024-11-16,18.84,元/公斤,示例数据
2024-11-17,19.44,元/公斤,示例数据
2024-11-18,21.24,元/公斤,示例数据
2024-11-19,19.72,元/公斤,示例数据
2024-11-20,20.92,元/公斤,示例数据
2024-11-21,18.32,元/公斤,示例数据
2024-11-22,18.88,元/公斤,示例数据
2024-11-23,20.72,元/公斤,示例数据
2024-11-24,18.44,元/公斤,示例数据
2024-11-25,20.68,元/公斤,示例数据
2024-11-26,18.96,元/公斤,示例数据
2024-11-27,18.64,元/公斤,示例数据
2024-11-28,18.72,元/公斤,示例数据
2024-11-29,21.56,元/公斤,示例数据
2024-11-30,21.04,元/公斤,示例数据
2024-12-01,18.19,元/公斤,示例数据
2024-12-02,16.95,元/公斤,示例数据
2024-12-03,19.84,元/公斤,示例数据
2024-12-04,20.4,元/公斤,示例数据
2024-12-05,19.5,元/公斤,示例数据
2024-12-06,19.57,元/公斤,示例数据
2024-12-07,17.21,元/公斤,示例数据
2024-12-08,18.07,元/公斤,示例数据
2024-12-09,18.64,元/公斤,示例数据
2024-12-10,18.34,元/公斤,示例数据
2024-12-11,19.24,元/公斤,示例数据
2024-12-12,20.18,元/公斤,示例数据
2024-12-13,19.65,元/公斤,示例数据
2024-12-14,18.82,元/公斤,示例数据
2024-12-15,17.21,元/公斤,示例数据
2024-12-16,20.14,元/公斤,示例数据
2024-12-17,20.06,元/公斤,示例数据
2024-12-18,18.41,元/公斤,示例数据
2024-12-19,20.55,元/公斤,示例数据
2024-12-20,20.1,元/公斤,示例数据
2024-12-21,18.0,元/公斤,示例数据
2024-12-22,19.05,元/公斤,示例数据
2024-12-23,18.98,元/公斤,示例数据
2024-12-24,18.98,元/公斤,示例数据
2024-12-25,18.34,元/公斤,示例数据
2024-12-26,18.94,元/公斤,示例数据
2024-12-27,17.36,元/公斤,示例数据
2024-12-28,17.66,元/公斤,示例数据
2024-12-29,19.57,元/公斤,示例数据
2024-12-30,19.39,元/公斤,示例数据
2024-12-31,18.56,元/公斤,示例数据
2025-01-01,30.88,元/公斤,示例数据
